datetime,open,high,low,close,volume,pure_bond_value,convert_value,pure_bond_premium_rate,convert_premium_rate
2017-03-29,119.3625590942891,119.82084532402794,118.7518850303554,119.1116696965263,2494615.0,87.69141362210199,109.34788107275068,43.465967617488076,14.012832499403716
2017-03-30,118.28916991833107,118.88439218516518,117.39113460322939,117.87598658641531,2398464.0,89.51601647154176,105.54488930282045,32.40379026426913,14.227052333201582
2017-03-31,118.6589340566896,120.34072359033952,118.06295742118027,118.44005535317301,1979200.0,89.61649803501416,105.2259283791936,35.19088116698666,19.74068041769402
2017-04-05,117.33081951898966,118.3119382481816,115.5696267507332,116.35203624034193,2658529.0,88.76824735509749,103.42509488472761,34.10738457421379,17.346074814342817
2017-04-06,118.81187943205002,119.5208470562218,117.39201065729198,118.3099596686739,2581988.0,89.33538563142045,105.42421247883415,38.91633137586232,18.60327384484358
2017-04-07,119.83444174186867,120.81800893290244,119.01072233750908,119.8015526724645,2113087.0,90.1625395430477,112.38052240130199,34.446760799011116,10.789901691080393
2017-04-10,118.4698134463527,120.30556446610909,118.23581320943218,119.26280335006938,3055877.0,88.2061612326347,111.07474689151431,39.26582873613696,10.361081873779607
2017-04-11,117.12286187394662,118.92349517405219,116.47288670895551,118.1352714537577,3659592.0,89.26043030873387,108.06128210598338,35.49683859361918,11.496025537491613
2017-04-12,122.97505679082306,124.3931747760157,121.60797508458309,122.7303006686373,10277171.0,91.51096198640657,116.92075141611441,36.44826367884703,6.642917095025469
2017-04-13,123.12412499464142,124.29528349633172,122.15490390989275,123.62333351179564,7394653.0,90.18976334789475,118.7217308606097,41.97383510207984,6.262506546635791
2017-04-14,117.75306637917696,118.47042058597873,117.0132305457414,117.12603016878195,2494698.0,90.44466981955331,107.20549360531817,31.487407650865954,13.812885974614964
2017-04-17,118.12915813522194,118.71855387833622,114.76160066802689,115.13823765405175,7084146.0,88.63011118853282,111.69920845727911,34.17576107670565,5.019816028156392
2017-04-18,115.00547026933235,115.49422417286172,113.92131095980935,114.80047376113653,3308032.0,89.4914970866364,106.14875727239036,30.031289575282223,12.221714985254073
2017-04-19,114.10437564137227,114.62748186795426,113.34898155832275,114.25255376020331,2459375.0,87.97696712014232,101.10531797058198,34.591921046119445,18.828181496355782
2017-04-20,119.77844126882286,120.87355463078254,119.24344261888055,120.49834269909402,3544293.0,90.23643773553711,117.20740392261588,34.07745508909675,4.4845453410313425
2017-04-21,116.988665813548,117.73706063570665,116.2550942453125,116.76529531971794,1488265.0,88.78931114505818,110.40521715064185,33.63694459427588,8.001155397996996
2017-04-24,117.93422170292594,118.24730094722976,115.82781996753866,116.47608953695563,2720776.0,88.36537108354383,108.31112239464034,35.916001279781945,11.000450837187628
2017-04-25,117.74620483411047,119.32503843435782,117.48748209819111,118.48694184640247,2387161.0,88.9277344798277,106.91817073649409,39.293425333021105,18.29316664280289
2017-04-26,123.45204062510547,126.56992264865326,123.13875498964357,125.28764389889558,5096356.0,91.83468140722508,121.42271833980983,37.11668001917448,6.6829573713060855
2017-04-27,116.8699818650141,118.0441220821906,115.69976577303063,116.942605244764,3825644.0,88.03801949716177,108.05670172072992,37.09730902099098,12.913332011290123
2017-04-28,114.89578879658434,116.97640147769414,114.15086941928381,115.52284889064728,4112353.0,88.37072867883666,94.56393024307495,35.486771734479014,36.8278148273993
2017-05-02,121.30212438369146,122.1330924675015,120.38095911812185,121.1003284094043,2650661.0,89.12161793047093,113.13563106576058,38.83139653471342,13.126595040972799
2017-05-03,120.84656145087139,123.51280897742555,120.55590609663649,123.04948663197094,6457085.0,89.3462872877467,119.88072359005649,38.25588853967387,5.284635449726927
2017-05-04,121.78523348465218,123.27979145475386,120.91526213117164,121.94505560447645,4945627.0,88.87620045155042,118.0235457550074,38.0247440022064,6.31827788850635
2017-05-05,120.31997316860061,122.3549682132621,119.96636228028676,121.15348873491574,5390550.0,89.12901359757352,117.66244775887434,36.65743254295017,5.622009777777778
2017-05-08,108.25633058534153,108.7569928699374,105.22188227932332,105.36966628217749,14107029.0,92.03656764698647,88.6388020265713,14.86396034973771,21.83753987860236
2017-05-09,108.72013382501888,109.12990494229165,107.27493949288528,107.66514631941844,9001553.0,88.14426215089775,89.12935949919975,29.413022218654937,25.67377545949016
2017-05-10,113.4219950595998,114.12898959647495,112.35096713858465,112.95504507380998,6435511.0,90.78662252090004,95.98223056419297,25.44515815196338,25.835553526409946
2017-05-11,110.38755855648223,110.67822211900057,108.96645476200717,109.80148798640525,5067842.0,87.58134646818114,90.39298408873047,31.970097129863163,29.89821985330245
2017-05-12,110.72965120179961,112.1508765302258,110.36968493519673,111.36611047446311,4818815.0,89.53550609842877,92.61835420033763,25.941527656840947,28.71304100784114
2017-05-15,124.31208044995559,126.66415184641971,122.96666536103552,125.53488090764982,5737455.0,90.30277584489987,120.25178311404622,40.10898871684397,9.534151541946734
2017-05-16,127.13870117771891,130.06970440899556,126.52570188222283,129.94267024864223,11375380.0,90.8860023882367,126.38905772083217,43.29151051096315,6.434388155569309
2017-05-17,120.44639050494968,121.98273143862865,119.71383913972907,121.02299967472682,7175507.0,89.6555329877178,112.26804897896413,35.4186160695962,13.234179349514953
2017-05-18,120.16624923797062,120.97965233873268,119.03850750752122,119.91745942053436,7670308.0,88.93513125213487,106.31601903192154,35.34909187692333,24.86436306492516
2017-05-19,122.03131459481114,122.51501487792031,121.18372088137755,121.73650451832121,6739450.0,89.14675460834341,111.03879199887231,38.4270387318253,19.036367637210752
2017-05-22,121.55857073269175,121.90380578685057,119.62617495409768,120.26083869530433,4291177.0,89.79546325096821,108.8547752534794,35.062748060170904,18.94765408052383
2017-05-23,128.66074410276494,129.01131651150465,124.87208018377952,125.77379285327814,10882388.0,90.74056945226543,121.58944283574523,38.86171106267301,7.37822378533094
2017-05-24,118.9541511505688,120.1070523948375,117.27763736139815,118.49597015527222,6083252.0,89.42480199419651,107.94738353283738,34.56400364974195,16.187662928085174
2017-05-25,119.29410746432565,120.29553313315103,118.45992159016721,119.86665137257019,5927930.0,90.27477708326515,109.46929325069627,33.40843975404567,15.493936396718585
2017-05-26,121.42644487803427,122.7633169294803,120.57863070986562,121.44332640449436,7068380.0,90.17361506920963,112.29911624342495,35.659131344282564,14.684884243815414
2017-05-31,119.4816659149383,120.56951202478461,119.13930392021523,120.01888663350529,6157366.0,89.05168839053906,108.50450178253169,37.755656061439254,17.849147578721162
2017-06-01,121.07168297655011,122.886446387281,120.43395651679417,122.32575265144978,5082031.0,89.33838816418081,112.61971983165785,39.419143597845036,12.505800299663658
2017-06-02,120.04732321142691,120.61285977509644,118.9024819736881,119.849805568182,4602328.0,89.64346343520062,109.74835556522699,35.089738057891566,13.853659110650089
2017-06-05,117.7653961611148,120.15613139327614,117.21910155421901,119.21293444387076,4024658.0,89.47842125584336,106.97015305660753,36.141999371250925,17.928737883293437
2017-06-06,121.34915822332034,123.16168866354226,120.73813994994828,122.37326273418516,3961502.0,89.60478682951567,112.73336857207192,38.81366610949584,14.037983604577253
2017-06-07,116.09382778252943,118.7906093818463,115.89059534151673,118.27340607725377,5801502.0,86.74687804061776,102.17217519502708,42.364020452462135,22.79000484810658
2017-06-08,118.45930166183594,119.28488478816796,117.58579020538258,118.20948601505272,3822038.0,87.5098667839252,101.72380797480298,43.048298135732814,25.977902915120158
2017-06-09,110.34500834741272,112.93065286979474,110.1505374889589,112.01576242969145,3582068.0,86.35460809604955,91.70479880555031,38.156066980163416,29.09018152056298
2017-06-12,117.23650076622653,118.98503480140216,116.75980577166102,117.82484229196425,3743671.0,86.72642008982626,102.56418840467016,42.83431292522767,19.776748769750334
