Date,Time,Open,High,Low,Close,Volume
20240207,07:00:00,2033.38,2034.04,2033.21,2033.71,158540
20240207,07:05:00,2033.64,2033.70,2033.15,2033.70,99060
20240207,07:10:00,2033.70,2034.19,2033.63,2034.19,110140
20240207,07:15:00,2034.21,2035.36,2034.10,2035.30,177480
20240207,07:20:00,2035.29,2035.52,2034.77,2034.96,221970
20240207,07:25:00,2034.96,2035.72,2034.93,2035.69,172060
20240207,07:30:00,2035.66,2035.92,2035.05,2035.40,65160
20240207,07:35:00,2035.44,2036.09,2035.18,2035.63,27149
20240207,07:40:00,2035.57,2035.76,2035.24,2035.31,54750
20240207,07:45:00,2035.31,2035.34,2034.61,2034.71,47100
20240207,07:50:00,2034.71,2035.23,2034.46,2034.65,35820
20240207,07:55:00,2034.63,2035.11,2034.62,2035.11,59999
20240207,08:00:00,2035.12,2035.20,2034.45,2035.01,91320
20240207,08:05:00,2035.01,2035.09,2034.39,2034.48,75210
20240207,08:10:00,2034.51,2034.90,2033.86,2033.89,34710
20240207,08:15:00,2033.89,2034.21,2032.88,2033.57,57030
20240207,08:20:00,2033.61,2033.70,2033.14,2033.14,42540
20240207,08:25:00,2033.22,2033.22,2032.32,2032.70,38100
20240207,08:30:00,2032.82,2032.82,2031.89,2031.93,45090
20240207,08:35:00,2031.97,2032.35,2031.14,2031.90,50490
20240207,08:40:00,2031.90,2032.94,2031.77,2032.94,35760
20240207,08:45:00,2032.94,2033.68,2032.94,2033.45,41399
20240207,08:50:00,2033.45,2034.06,2033.36,2033.46,31889
20240207,08:55:00,2033.44,2033.60,2032.58,2032.81,18990
20240207,09:00:00,2032.85,2033.36,2032.61,2033.34,27630
20240207,09:05:00,2033.36,2033.47,2032.73,2032.90,34319
20240207,09:10:00,2032.87,2033.13,2032.63,2033.04,29040
20240207,09:15:00,2033.13,2033.13,2032.33,2032.33,47280
20240207,09:20:00,2032.45,2033.19,2032.32,2032.97,54600
20240207,09:25:00,2032.92,2033.96,2032.84,2033.94,47430
20240207,09:30:00,2033.94,2034.83,2033.87,2034.67,62160
20240207,09:35:00,2034.63,2034.63,2033.93,2033.93,33659
20240207,09:40:00,2033.91,2034.54,2033.84,2034.51,17940
20240207,09:45:00,2034.48,2034.88,2034.23,2034.34,24240
20240207,09:50:00,2034.34,2034.89,2034.21,2034.76,64260
20240207,09:55:00,2034.76,2034.87,2034.06,2034.28,24209
20240207,10:00:00,2034.26,2034.30,2033.57,2033.59,31380
20240207,10:05:00,2033.59,2033.68,2033.05,2033.30,142449
20240207,10:10:00,2033.32,2033.84,2033.06,2033.52,80770
