BOND_CODE,BOND_SYMBOL,TRADE_DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME,PURE_BOND_VALUE,CONVERT_VALUE,PURE_BOND_PREMIUM_RATE,CONVERT_PREMIUM_RATE
113013,sh113013,2018-07-13,102.75,102.86,102.36,102.75,184860,88.1979,73.3838,16.4994,40.0172
113013,sh113013,2018-07-16,102.75,103.0,102.71,102.75,131010,88.4012,72.5758,16.2314,41.5762
113013,sh113013,2018-07-17,102.79,103.0,102.59,102.64,62960,88.4266,72.1717,16.0737,42.2164
113013,sh113013,2018-07-18,102.8,103.44,102.12,102.6,302680,88.4816,71.3636,15.9563,43.7707
113013,sh113013,2018-07-19,102.7,103.73,102.7,103.24,240280,88.6834,71.6162,16.4141,44.1574
113013,sh113013,2018-07-20,103.2,106.0,102.97,104.65,169350,89.0043,74.0404,17.5786,41.3417
113013,sh113013,2018-07-23,104.65,106.4,104.39,105.15,663300,89.2679,74.798,17.7915,40.5787
113013,sh113013,2018-07-24,105.6,106.61,105.47,105.5,545270,89.178,76.5152,18.3027,37.8812
113013,sh113013,2018-07-25,105.7,105.7,105.0,105.12,147570,89.1607,76.1616,17.8995,38.0223
113013,sh113013,2018-07-26,105.13,105.13,104.57,104.57,226000,89.3292,75.5556,17.0614,38.4015
113013,sh113013,2018-07-27,104.3,105.0,104.0,104.57,59350,89.3754,75.3535,17.0008,38.7725
113013,sh113013,2018-07-30,104.45,105.15,104.45,104.48,259970,89.4028,75.404,16.8644,38.5602
113013,sh113013,2018-07-31,104.4,104.81,104.05,104.33,171850,89.5798,75.8081,16.466,37.6239
113013,sh113013,2018-08-01,104.48,104.7,103.69,103.72,177910,89.8652,74.1414,15.4174,39.8948
113013,sh113013,2018-08-02,104.0,104.0,102.4,103.13,280070,90.0394,72.7273,14.5387,41.8038
113013,sh113013,2018-08-03,102.02,103.66,102.02,103.66,48200,90.0479,71.6162,15.1165,44.7439
113013,sh113013,2018-08-06,103.66,105.1,103.5,103.8,808710,90.2609,70.9091,14.9999,46.3846
113013,sh113013,2018-08-07,104.78,106.1,103.7,105.94,358960,90.6096,72.9798,16.9192,45.1635
113013,sh113013,2018-08-08,106.59,106.6,104.4,104.51,65530,90.4946,71.7677,15.4875,45.6227
113013,sh113013,2018-08-09,104.5,106.1,104.38,105.25,855850,90.3344,73.6869,16.5115,42.8341
113013,sh113013,2018-08-10,105.3,105.3,104.5,104.69,290280,90.0257,73.8889,16.289,41.6857
113013,sh113013,2018-08-13,104.6,104.7,104.2,104.46,132020,89.8929,73.6869,16.2049,41.762
113013,sh113013,2018-08-14,104.41,104.5,104.24,104.39,218040,89.7852,73.5354,16.2664,41.9589
113013,sh113013,2018-08-15,104.16,104.21,103.95,103.97,190880,89.6556,71.8687,15.966,44.6666
113013,sh113013,2018-08-16,103.97,104.89,103.63,103.74,319810,89.5363,72.6263,15.8636,42.8409
113013,sh113013,2018-08-17,103.99,104.28,103.01,103.34,317290,89.3216,71.9192,15.6942,43.689
113013,sh113013,2018-08-20,103.48,103.78,102.91,103.25,215550,89.1382,74.1919,15.8313,39.1661
113013,sh113013,2018-08-21,103.29,105.45,103.29,105.25,135400,88.9905,74.899,18.271,40.5226
113013,sh113013,2018-08-22,105.1,105.1,104.7,104.72,3430,89.0577,74.596,17.5867,40.3829
113013,sh113013,2018-08-23,104.9,105.51,104.6,105.44,112920,89.0783,74.798,18.3678,40.9664
113013,sh113013,2018-08-24,105.65,105.65,104.8,104.95,65040,89.1352,75.202,17.7425,39.5574
113013,sh113013,2018-08-27,104.81,105.55,104.8,105.03,223600,89.1929,75.6566,17.7561,38.8247
113013,sh113013,2018-08-28,105.17,105.17,104.12,104.49,116180,89.0874,74.798,17.2893,39.6963
113013,sh113013,2018-08-29,104.49,104.49,103.12,103.76,257270,89.0909,74.4949,16.4654,39.2846
113013,sh113013,2018-08-30,103.9,104.05,103.46,103.61,63730,89.1364,73.1313,16.2376,41.6767
113013,sh113013,2018-08-31,103.61,104.1,103.51,103.85,69790,89.2862,73.8384,16.3114,40.645
113013,sh113013,2018-09-03,103.85,103.85,103.45,103.56,144280,89.3317,73.8384,15.9275,40.2523
113013,sh113013,2018-09-04,103.56,104.7,103.47,104.2,98160,89.2393,74.798,16.7647,39.3086
113013,sh113013,2018-09-05,104.19,104.2,103.2,103.72,130200,89.2075,72.9798,16.2682,42.1215
113013,sh113013,2018-09-06,103.72,103.72,103.3,103.53,302550,89.2305,73.0303,16.0254,41.7631
113013,sh113013,2018-09-07,103.52,104.5,103.5,103.64,94400,89.2332,73.3838,16.1452,41.23
113013,sh113013,2018-09-10,103.7,103.8,102.51,102.62,585350,89.0638,71.7172,15.2208,43.0899
113013,sh113013,2018-09-11,102.62,102.7,102.23,102.23,171690,88.9775,72.0707,14.8943,41.8468
113013,sh113013,2018-09-12,102.45,102.5,101.72,102.15,338510,88.9908,72.5253,14.7871,40.8475
113013,sh113013,2018-09-13,102.48,102.9,102.16,102.59,86880,88.9818,74.1414,15.2933,38.3707
113013,sh113013,2018-09-14,102.8,103.3,102.6,102.71,107950,88.9343,73.5859,15.4898,39.5784
113013,sh113013,2018-09-17,102.85,103.11,102.57,102.71,76860,89.0291,72.8788,15.3668,40.9326
113013,sh113013,2018-09-18,103.0,103.8,102.72,103.72,284090,89.0847,74.6465,16.4285,38.9483
113013,sh113013,2018-09-19,103.56,104.47,103.56,103.72,389920,89.1253,74.798,16.3755,38.6668
113013,sh113013,2018-09-20,103.85,104.5,103.04,103.05,125740,89.0775,74.8485,15.6858,37.6781
113013,sh113013,2018-09-21,103.3,104.27,102.65,104.14,303040,89.1239,76.4646,16.8485,36.1937
113013,sh113013,2018-09-25,104.0,104.56,103.5,104.28,96670,89.1826,75.202,16.9287,38.6665
113013,sh113013,2018-09-26,104.25,104.6,104.02,104.18,941570,89.2128,75.8081,16.777,37.426
113013,sh113013,2018-09-27,104.36,104.52,103.85,104.01,190030,89.2994,75.202,16.4733,38.3075
113013,sh113013,2018-09-28,104.02,104.8,104.02,104.69,255910,89.4601,75.7071,17.0243,38.283
113013,sh113013,2018-10-08,104.69,104.69,103.22,103.37,46570,89.5253,72.6768,15.4646,42.2325
113013,sh113013,2018-10-09,103.37,103.53,103.19,103.25,103700,89.6076,72.4747,15.2245,42.4634
113013,sh113013,2018-10-10,103.26,103.77,103.18,103.35,47280,89.7738,73.0303,15.1227,41.5166
113013,sh113013,2018-10-11,103.2,103.2,102.01,102.75,310230,90.0317,69.596,14.1265,47.6379
113013,sh113013,2018-10-12,102.76,103.0,102.42,102.43,204210,90.1361,68.0303,13.6393,50.5653
113013,sh113013,2018-10-15,102.59,103.0,102.01,102.01,295210,90.1512,68.2828,13.1543,49.3933
113013,sh113013,2018-10-16,102.25,102.79,101.65,101.7,108660,90.1682,67.9798,12.7892,49.6033
113013,sh113013,2018-10-17,101.85,107.47,101.5,102.04,232370,90.2781,69.1919,13.0286,47.4739
113013,sh113013,2018-10-18,102.11,102.2,101.83,102.05,180680,90.3688,68.1818,12.9261,49.6733
113013,sh113013,2018-10-19,102.06,102.8,101.81,102.33,58790,90.526,70.404,13.0394,45.3468
113013,sh113013,2018-10-22,102.6,106.47,102.6,104.98,1318260,90.5696,77.4242,15.9109,35.5906
113013,sh113013,2018-10-23,104.99,105.2,103.8,104.15,365660,90.5175,75.404,15.0607,38.1226
113013,sh113013,2018-10-24,104.0,104.88,103.5,104.47,220910,90.4917,75.8586,15.447,37.7168
113013,sh113013,2018-10-25,104.01,104.65,103.5,104.22,195460,90.5604,77.1717,15.0834,35.0495
113013,sh113013,2018-10-26,104.6,104.6,103.68,104.04,270140,90.5791,76.0101,14.8609,36.8765
113013,sh113013,2018-10-29,104.07,104.2,103.8,103.88,193940,90.6937,74.1919,14.5394,40.0152
113013,sh113013,2018-10-30,103.81,104.66,103.81,104.31,598300,90.7608,76.9192,14.9284,35.6098
113013,sh113013,2018-10-31,104.32,104.5,103.98,104.12,98000,90.796,77.0202,14.6747,35.1853
113013,sh113013,2018-11-01,104.49,105.6,104.2,104.55,638460,90.8774,77.2727,15.0451,35.3
113013,sh113013,2018-11-02,105.19,105.55,105.05,105.43,595950,90.8399,79.4949,16.0614,32.6248
113013,sh113013,2018-11-05,105.43,105.43,104.5,104.9,317300,90.8079,78.6364,15.5185,33.3988
113013,sh113013,2018-11-06,104.9,105.6,104.65,104.85,166160,90.8746,77.9798,15.3788,34.4579
113013,sh113013,2018-11-07,104.8,105.2,104.65,104.88,95400,90.9674,76.9192,15.294,36.3509
113013,sh113013,2018-11-08,104.94,105.1,104.71,104.8,111270,90.9912,75.6061,15.176,38.6132
113013,sh113013,2018-11-09,104.5,105.0,104.16,104.79,40320,91.0278,75.7071,15.1187,38.4151
113013,sh113013,2018-11-12,104.83,105.17,104.8,105.03,242490,91.103,77.0707,15.2871,36.2775
113013,sh113013,2018-11-13,104.98,105.69,104.6,105.32,279050,91.1181,78.5859,15.5863,34.019
113013,sh113013,2018-11-14,105.3,106.0,105.02,105.88,328010,91.2302,77.3232,16.058,36.9317
113013,sh113013,2018-11-15,105.62,106.7,105.61,106.7,383300,91.2966,80.2525,16.8719,32.9553
113013,sh113013,2018-11-16,106.7,107.31,106.7,106.86,531920,91.4403,81.4646,16.8631,31.1735
113013,sh113013,2018-11-19,106.85,107.14,106.61,106.69,301620,91.7353,83.5859,16.302,27.6412
113013,sh113013,2018-11-20,106.6,106.6,105.2,105.52,381810,91.8332,81.0101,14.904,30.2554
113013,sh113013,2018-11-21,105.4,105.9,105.11,105.8,291500,91.9361,81.6162,15.0799,29.6312
113013,sh113013,2018-11-22,105.73,105.99,105.5,105.61,162730,91.8639,80.6566,14.9636,30.9379
113013,sh113013,2018-11-23,106.0,106.0,105.27,105.52,206620,91.7751,79.2424,14.9768,33.161
113013,sh113013,2018-11-26,105.6,105.99,105.2,105.2,293150,91.7337,78.6869,14.6798,33.6945
113013,sh113013,2018-11-27,105.22,105.49,105.02,105.1,152190,91.7422,78.3333,14.5601,34.1702
113013,sh113013,2018-11-28,105.2,105.6,105.1,105.4,105590,91.6184,80.202,15.0424,31.4181
113013,sh113013,2018-11-29,105.5,105.88,105.11,105.14,170870,91.5556,79.3434,14.8373,32.5125
113013,sh113013,2018-11-30,105.11,105.6,105.11,105.59,117130,91.6409,81.0101,15.2215,30.3418
113013,sh113013,2018-12-03,106.67,107.37,106.45,106.45,737160,91.604,83.5354,16.2067,27.4311
113013,sh113013,2018-12-04,106.45,106.6,106.4,106.55,400280,91.6492,84.697,16.2585,25.8014
113013,sh113013,2018-12-05,106.65,106.65,106.12,106.25,962710,91.8508,84.0404,15.6767,26.4273
113013,sh113013,2018-12-06,106.3,106.3,105.83,105.83,211140,91.8311,82.0202,15.2442,29.0292
113013,sh113013,2018-12-07,106.0,106.25,106.0,106.18,103650,91.7859,82.4747,15.6822,28.7424
113013,sh113013,2018-12-10,105.73,106.15,105.73,105.83,66350,91.8666,82.1212,15.1996,28.8705
113013,sh113013,2018-12-11,105.85,106.14,105.7,105.86,60380,91.9437,82.1717,15.1357,28.8278
113013,sh113013,2018-12-12,105.99,106.23,105.86,106.03,83100,91.9821,82.5758,15.2725,28.4033
113013,sh113013,2018-12-13,105.86,106.73,105.77,106.73,431090,91.917,83.4848,16.1157,27.8436
113013,sh113013,2018-12-14,106.6,107.6,106.29,106.6,145910,91.8426,82.0707,16.0682,29.888
113013,sh113013,2018-12-17,106.6,106.75,106.25,106.58,44340,91.7932,82.6263,16.1089,28.9905
113013,sh113013,2018-12-18,106.31,106.5,105.71,105.87,128050,91.7137,80.303,15.4353,31.8381
113013,sh113013,2018-12-19,106.0,106.0,105.42,105.6,150780,91.6951,79.5455,15.1642,32.7543
113013,sh113013,2018-12-20,105.63,105.67,105.01,105.38,220080,91.7315,79.4444,14.8787,32.6462
113013,sh113013,2018-12-21,105.23,105.67,104.52,104.65,218570,91.8221,78.9899,13.9704,32.4853
113013,sh113013,2018-12-24,105.19,105.32,104.5,105.2,104840,91.8468,78.3838,14.5385,34.2113
113013,sh113013,2018-12-25,104.56,105.21,104.56,105.04,141470,91.8507,76.4141,14.3595,37.4615
113013,sh113013,2018-12-26,105.19,105.19,104.8,104.84,188900,91.8844,75.9091,14.0998,38.1126
113013,sh113013,2018-12-27,105.4,105.6,104.8,104.85,127400,91.9715,75.5556,14.0027,38.7721
113013,sh113013,2018-12-28,105.15,105.4,105.0,105.27,215540,92.1215,77.3737,14.273,36.0539
113013,sh113013,2019-01-02,105.01,105.41,104.11,104.42,195690,92.3066,77.7778,13.123,34.2543
113013,sh113013,2019-01-03,104.11,105.5,104.11,105.44,544280,92.4534,79.798,14.0466,32.1337
113013,sh113013,2019-01-04,105.0,107.49,105.0,106.88,437570,92.6686,84.697,15.3358,26.1911
113013,sh113013,2019-01-07,107.49,107.8,106.85,107.79,409320,92.9163,84.8485,16.0076,27.0382
113013,sh113013,2019-01-08,107.79,108.2,107.69,107.88,1006570,93.1404,84.798,15.8251,27.22
113013,sh113013,2019-01-09,107.99,110.1,107.99,108.95,1161320,93.1678,84.899,16.9395,28.329
